SURVEY: PS1MD
SNID:  PSc000076
IAUC:    UNKNOWN
RA:         129.2608  deg
DECL:        43.738  deg
MWEBV:  0.0245  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2600  +- 0.0000 CMB
SEARCH_PEAKMJD: 55207.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 390
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55161.5 g NULL  -19.363 18.143 nan -1.017
OBS: 55173.5 g NULL  -3.330 8.181 nan -2.667
OBS: 55179.5 g NULL  2.563 5.457 -6.022 2.312
OBS: 55182.5 g NULL  12.821 5.226 -7.770 0.443
OBS: 55188.6 g NULL  3.111 9.017 -6.232 3.147
OBS: 55191.5 g NULL  4.552 4.593 -6.646 1.096
OBS: 55203.4 g NULL  -3.079 5.218 nan -1.840
OBS: 55206.5 g NULL  72.233 4.954 -9.647 0.074
OBS: 55212.4 g NULL  87.043 4.869 -9.849 0.061
OBS: 55215.4 g NULL  96.917 6.093 -9.966 0.068
OBS: 55221.4 g NULL  73.361 11.191 -9.664 0.166
OBS: 55230.5 g NULL  65.724 16.477 -9.544 0.272
OBS: 55233.4 g NULL  52.471 9.807 -9.300 0.203
OBS: 55236.3 g NULL  39.705 13.159 -8.997 0.360
OBS: 55239.4 g NULL  23.429 6.628 -8.424 0.307
OBS: 55242.3 g NULL  28.327 5.936 -8.631 0.227
OBS: 55248.4 g NULL  7.084 9.167 -7.126 1.405
OBS: 55275.4 g NULL  30.798 10.048 -8.721 0.354
OBS: 55479.6 g NULL  11.363 20.448 -7.639 1.954
OBS: 55482.6 g NULL  -3.787 5.449 nan -1.563
OBS: 55485.6 g NULL  11.258 8.847 -7.629 0.853
OBS: 55503.6 g NULL  -1.246 7.198 nan -6.275
OBS: 55509.6 g NULL  -3.714 5.059 nan -1.479
OBS: 55515.6 g NULL  16.816 8.668 -8.064 0.560
OBS: 55518.6 g NULL  4.793 6.823 -6.701 1.546
OBS: 55530.6 g NULL  15.630 11.673 -7.985 0.811
OBS: 55545.5 g NULL  -3.258 8.616 nan -2.872
OBS: 55560.4 g NULL  2.255 8.011 -5.883 3.858
OBS: 55563.6 g NULL  19.395 19.846 -8.219 1.111
OBS: 55566.6 g NULL  -8.448 10.728 nan -1.379
OBS: 55584.5 g NULL  4.001 11.443 -6.505 3.105
OBS: 55587.6 g NULL  -2.395 17.987 nan -8.155
OBS: 55590.5 g NULL  -3.488 4.707 nan -1.465
OBS: 55593.6 g NULL  0.179 8.858 -3.133 53.701
OBS: 55596.3 g NULL  1.686 6.510 -5.567 4.192
OBS: 55602.3 g NULL  -9.613 15.578 nan -1.759
OBS: 55632.3 g NULL  -1.850 11.581 nan -6.798
